partition,ppn,nproc,estimated_nodes,last_node_ranks,message_size_bytes,optimal_algorithm,optimal_predicted_time_sec,predicted_time_sec__binomial,predicted_time_sec__circ_graph,predicted_time_sec__nb,predicted_time_sec__pipelined_tree,predicted_time_sec__release_gather,predicted_time_sec__scatter_recursive_doubling_allgather,predicted_time_sec__scatter_ring_allgather,predicted_time_sec__tree
single_node,16,8,1,8,12,release_gather,7.848833946243298e-07,5.646332499356193e-06,2.4664090781779836e-06,7.179240158053313e-06,5.818551184931364e-06,7.848833946243298e-07,1.2812514277447312e-05,2.2667480370761345e-05,5.831843855795967e-06
single_node,16,8,1,8,16,release_gather,7.847781458089757e-07,5.6437380271566975e-06,2.4746448889313697e-06,7.178084711524841e-06,5.818318505658714e-06,7.847781458089757e-07,1.3111038473903317e-05,2.2817343498023237e-05,5.831161267762401e-06
single_node,16,8,1,8,24,release_gather,7.863829640987451e-07,5.646944074153648e-06,2.51232234922871e-06,7.174234170649893e-06,5.8192312018541e-06,7.863829640987451e-07,1.3297225838475353e-05,2.31124668158766e-05,5.827797016933492e-06
single_node,16,8,1,8,32,release_gather,7.893661864757004e-07,5.650651470801055e-06,2.5256773026377564e-06,7.173646928647175e-06,5.822395409449935e-06,7.893661864757004e-07,1.3406315899100056e-05,2.3242052907580107e-05,5.83258900899604e-06
single_node,16,8,1,8,48,release_gather,7.904265276215752e-07,5.660751786290694e-06,2.654922514252046e-06,7.173494349064879e-06,5.841622464814739e-06,7.904265276215752e-07,1.352516612289188e-05,2.3460949605869835e-05,5.861429421024524e-06
single_node,16,8,1,8,64,release_gather,7.949732374123073e-07,5.664081752194311e-06,2.7782889824929632e-06,7.175567398696241e-06,5.842918471324426e-06,7.949732374123073e-07,1.3592009405253441e-05,2.369813846588391e-05,5.8632178431137155e-06
single_node,16,8,1,8,96,release_gather,8.042309932368805e-07,5.670309399498693e-06,2.8122125463391045e-06,7.17735132652085e-06,5.847958693424317e-06,8.042309932368805e-07,1.3635631354930119e-05,2.3815670165085957e-05,5.875413833877264e-06
single_node,16,8,1,8,128,release_gather,8.070223740727839e-07,5.717243100941591e-06,2.8141609172297574e-06,7.180212767879616e-06,5.87318941280752e-06,8.070223740727839e-07,1.3652776484305189e-05,2.3895671491093216e-05,5.883635226086639e-06
single_node,16,8,1,8,192,release_gather,8.183080760225474e-07,5.730041534865565e-06,2.8478358360518423e-06,7.190077751696728e-06,5.9051949005475614e-06,8.183080760225474e-07,1.3720259940924277e-05,2.3961208353179615e-05,5.918605367129969e-06
single_node,16,8,1,8,256,release_gather,8.259490980461108e-07,5.737154558444e-06,2.89637473996424e-06,7.204214816819072e-06,5.916984085909733e-06,8.259490980461108e-07,1.3754294496258088e-05,2.4032716177121523e-05,5.93086433954445e-06
single_node,16,8,1,8,384,release_gather,8.831425842477406e-07,5.795208882209197e-06,3.0006400502756422e-06,7.235857460058491e-06,6.007375098013676e-06,8.831425842477406e-07,1.3848115332654316e-05,2.4273637632538278e-05,6.013795912366688e-06
single_node,16,8,1,8,512,release_gather,9.704024671239502e-07,5.835272221183416e-06,3.2864343013821717e-06,7.248097149693505e-06,6.053727319313487e-06,9.704024671239502e-07,1.3878763071587332e-05,2.4330978477796697e-05,6.058607185235686e-06
single_node,16,8,1,8,768,release_gather,1.0519358977962723e-06,6.049577117184318e-06,3.4834786317235706e-06,7.265614658412324e-06,6.23713980536564e-06,1.0519358977962723e-06,1.397134953430191e-05,2.456740190476308e-05,6.2396446892007326e-06
