phase,phase_iteration,global_iteration,algorithm,cvar_value,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
actual,84,184,binomial,1,0,256,2,0.020119098,0.000078590,0.000004448,0.000134122,1
actual,85,185,binomial,1,0,256,2,0.021260076,0.000083047,0.000004529,0.000146024,1
actual,86,186,binomial,1,0,256,2,0.018086287,0.000070650,0.000004559,0.000122620,1
actual,87,187,binomial,1,0,256,2,0.026156354,0.000102173,0.000002915,0.000174237,1
actual,88,188,binomial,1,0,256,2,0.024078662,0.000094057,0.000004940,0.000150252,1
actual,89,189,binomial,1,0,256,2,0.023064791,0.000090097,0.000007534,0.000155612,1
actual,90,190,binomial,1,0,256,2,0.018445966,0.000072055,0.000004469,0.000124483,1
actual,91,191,binomial,1,0,256,2,0.022910438,0.000089494,0.000001803,0.000157296,1
actual,92,192,binomial,1,0,256,2,0.017357543,0.000067803,0.000004669,0.000135624,1
actual,93,193,binomial,1,0,256,2,0.025446359,0.000099400,0.000001703,0.000163327,1
actual,94,194,binomial,1,0,256,2,0.017278592,0.000067495,0.000004489,0.000119665,1
actual,95,195,binomial,1,0,256,2,0.022792826,0.000089034,0.000004549,0.000149450,1
actual,96,196,binomial,1,0,256,2,0.019350448,0.000075588,0.000004428,0.000128111,1
actual,97,197,binomial,1,0,256,2,0.026135774,0.000102093,0.000001714,0.000171702,1
actual,98,198,binomial,1,0,256,2,0.018870853,0.000073714,0.000004709,0.000143038,1
actual,99,199,binomial,1,0,256,2,0.026881532,0.000105006,0.000004589,0.000170520,1
warmup,0,0,binomial,1,0,256,3,0.017076526,0.000066705,0.000004498,0.000126718,1
warmup,1,1,binomial,1,0,256,3,0.024893709,0.000097241,0.000004408,0.000152105,1
warmup,2,2,binomial,1,0,256,3,0.018871651,0.000073717,0.000004358,0.000131917,1
warmup,3,3,binomial,1,0,256,3,0.026079439,0.000101873,0.000002705,0.000162004,1
warmup,4,4,binomial,1,0,256,3,0.017697566,0.000069131,0.000004548,0.000126037,1
warmup,5,5,binomial,1,0,256,3,0.026370524,0.000103010,0.000002925,0.000164038,1
warmup,6,6,binomial,1,0,256,3,0.017409056,0.000068004,0.000004458,0.000128602,1
warmup,7,7,binomial,1,0,256,3,0.024066290,0.000094009,0.000004759,0.000145223,1
warmup,8,8,binomial,1,0,256,3,0.017304254,0.000067595,0.000004469,0.000123081,1
warmup,9,9,binomial,1,0,256,3,0.024594318,0.000096072,0.000003116,0.000162705,1
warmup,10,10,binomial,1,0,256,3,0.019366660,0.000075651,0.000004429,0.000124594,1
warmup,11,11,binomial,1,0,256,3,0.022531634,0.000088014,0.000002695,0.000145272,1
warmup,12,12,binomial,1,0,256,3,0.018836911,0.000073582,0.000002886,0.000122149,1
warmup,13,13,binomial,1,0,256,3,0.025178044,0.000098352,0.000004478,0.000165951,1
warmup,14,14,binomial,1,0,256,3,0.018750999,0.000073246,0.000004598,0.000130165,1
warmup,15,15,binomial,1,0,256,3,0.021740901,0.000084925,0.000003055,0.000152707,1
warmup,16,16,binomial,1,0,256,3,0.016590545,0.000064807,0.000004498,0.000119694,1
warmup,17,17,binomial,1,0,256,3,0.022754761,0.000088886,0.000005139,0.000139452,1
warmup,18,18,binomial,1,0,256,3,0.019258325,0.000075228,0.000004588,0.000124654,1
warmup,19,19,binomial,1,0,256,3,0.025412261,0.000099267,0.000003527,0.000169488,1
warmup,20,20,binomial,1,0,256,3,0.019952834,0.000077941,0.000004459,0.000139983,1
warmup,21,21,binomial,1,0,256,3,0.025183585,0.000098373,0.000003226,0.000168406,1
