grid_mode,ppn,nodes,nproc,message_size_bytes,algorithm,predicted_time_sec,is_optimal
nproc,2,,32,4194304,scatter_recursive_doubling_allgather,0.00351860886874714,0
nproc,2,,32,4194304,scatter_ring_allgather,0.003468329888309101,0
nproc,2,,32,4194304,tree,0.0034926324874383153,0
nproc,2,,32,33554432,binomial,0.023817330144787832,1
nproc,2,,32,33554432,circ_graph,0.026635866167233332,0
nproc,2,,32,33554432,nb,0.026589884561055738,0
nproc,2,,32,33554432,pipelined_tree,0.09649337227228037,0
nproc,2,,32,33554432,release_gather,0.026671545785829077,0
nproc,2,,32,33554432,scatter_recursive_doubling_allgather,0.026975843553630027,0
nproc,2,,32,33554432,scatter_ring_allgather,0.026671545785829077,0
nproc,2,,32,33554432,tree,0.028393317231420346,0
nproc,4,,2,2,binomial,1.3647978268202443e-05,0
nproc,4,,2,2,circ_graph,1.3977811100374126e-05,0
nproc,4,,2,2,nb,1.4053328269673853e-05,0
nproc,4,,2,2,pipelined_tree,1.401924360071237e-05,0
nproc,4,,2,2,release_gather,3.1757506448474686e-06,1
nproc,4,,2,2,scatter_recursive_doubling_allgather,4.3417811266168055e-05,0
nproc,4,,2,2,scatter_ring_allgather,1.5667340490454812e-05,0
nproc,4,,2,2,tree,1.401924360071237e-05,0
nproc,4,,2,16,binomial,1.3683476082969455e-05,0
nproc,4,,2,16,circ_graph,1.3992812296356053e-05,0
nproc,4,,2,16,nb,1.4067983131730008e-05,0
nproc,4,,2,16,pipelined_tree,1.4034538594166963e-05,0
nproc,4,,2,16,release_gather,3.1817172850418814e-06,1
nproc,4,,2,16,scatter_recursive_doubling_allgather,4.558769299124829e-05,0
nproc,4,,2,16,scatter_ring_allgather,1.5748256057538768e-05,0
nproc,4,,2,16,tree,1.4034538594166963e-05,0
nproc,4,,2,64,binomial,1.4167754086926002e-05,0
nproc,4,,2,64,circ_graph,1.4482392710083815e-05,0
nproc,4,,2,64,nb,1.4560616088058104e-05,0
nproc,4,,2,64,pipelined_tree,1.4527526415206098e-05,0
nproc,4,,2,64,release_gather,3.2548453738278293e-06,1
nproc,4,,2,64,scatter_recursive_doubling_allgather,6.295868037205092e-05,0
nproc,4,,2,64,scatter_ring_allgather,1.6299124003227484e-05,0
nproc,4,,2,64,tree,1.4527526415206098e-05,0
nproc,4,,2,512,binomial,3.154380585186623e-05,0
nproc,4,,2,512,circ_graph,3.916384522149521e-05,0
nproc,4,,2,512,nb,3.147545835465029e-05,0
nproc,4,,2,512,pipelined_tree,3.149863339936989e-05,0
nproc,4,,2,512,release_gather,5.316321329073677e-06,1
